date,location,time,lat_lon,is_floodprone,is_flooded,rainfall_1hr_prior,rainfall_2hr_prior,rainfall_3hr_prior,nearest_station_distance,rainfall_5min_prior,rainfall_10min_prior,rainfall_15min_prior,rainfall_20min_prior,rainfall_25min_prior,rainfall_30min_prior,rainfall_35min_prior,rainfall_40min_prior,rainfall_45min_prior,rainfall_50min_prior,rainfall_55min_prior
2024-01-26,55 Marine Parade Road,0955,"1.3090547, 103.9259363",0,0,0.0,0.0,0.0,1.502015112655655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-02,212 Jurong West Avenue 5,1040,"1.3504006, 103.7015816",0,0,0.0,0.0,0.0,0.3865645709093602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-27,354 Kovan Road,1215,"1.3577882, 103.8804949",0,0,0.0,0.0,0.0,1.158569071336078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,72 Tiong Bahru Road,1335,"1.2896399, 103.8163692",0,0,0.0,0.0,0.0,0.623559827425833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,49 Jalan Besar,1505,"1.304902, 103.8547829",0,0,0.0,0.0,0.0,1.1427994525525116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-07,890 Yishun Avenue 1,1645,"1.4257009, 103.8534979",0,0,0.0,0.0,0.0,1.1012247609902153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-02,345 Upper Bukit Timah Road,1800,"1.3527768, 103.7676934",0,0,0.0,0.0,0.0,2.3258849695229613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,612 Bukit Batok Street 23,1915,"1.3434509, 103.7542694",0,0,0.0,0.0,0.0,1.1824942462479895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23,112 Pasir Ris Central,2025,"1.3722951, 103.9487201",0,0,0.0,0.0,0.0,0.815494247718001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-17,98 Jurong East Street 13,0005,"1.3385508, 103.7345959",0,0,0.0,0.0,0.0,2.02589732497427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-04,232 Bedok North Street 3,0115,"1.3323794, 103.921908",0,0,0.0,0.0,0.0,2.190415677552033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-02,73 Lorong 1 Geylang,0145,"1.3127946, 103.8715408",0,0,0.0,0.0,0.0,1.4167404670158585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10,246 Ang Mo Kio Avenue 3,0210,"1.3685143, 103.8365122",0,0,0.0,0.0,0.0,1.0610429675007607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-18,631 Upper Serangoon Road,0240,"1.3408317, 103.8706462",0,0,0.0,0.0,0.0,1.9097058168368843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-27,35 Bukit Batok West Avenue 4,0315,"1.3630373, 103.7470595",0,0,0.0,0.0,0.0,0.4501869249006299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,153 Tampines Avenue 4,0345,"1.3521837, 103.9454497",0,0,0.0,0.0,0.0,0.9505340507451868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-09,34 Bishan Street 23,0420,"1.3569526, 103.8479655",0,0,0.0,0.0,0.0,0.6984714535065579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-06,290 Joo Chiat Road,0500,"1.3123779, 103.9000793",0,0,0.0,0.0,0.0,1.203212899471252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,100 Serangoon North Avenue 1,0530,"1.3708719, 103.8716627",0,0,0.0,0.0,0.0,1.1436805273075434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-29,88 Jurong Gateway Road,0615,"1.3329992, 103.7409911",0,0,0.0,0.0,0.0,1.6240334471952627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-14,27 Bedok South Road,0645,"1.319016, 103.9287316",0,0,0.0,0.0,0.0,0.7826038695026433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15,78 Bukit Timah Road,0725,"1.3291045, 103.8025087",0,0,0.0,0.0,0.0,0.9633579838940649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-05,12 Bedok North Street 2,0750,"1.3271542, 103.9378138",0,0,0.0,0.0,0.0,1.9801377213575728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,521 Lorong 2 Toa Payoh,0820,"1.3382166, 103.846249",0,0,0.0,0.0,0.0,0.54366466156784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,19 Clementi Road,0855,"1.2936728, 103.768543",0,0,0.0,0.0,0.0,0.2915879453791432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17,250 Lorong Chuan,0930,"1.3522036, 103.8646749",0,0,0.0,0.0,0.0,1.0654310431167913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,500 Ubi Avenue 1,1005,"1.3258973, 103.8966872",0,0,0.0,0.0,0.0,0.8827795707401322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-25,901 Yishun Street 81,1035,"1.415606, 103.8363376",0,0,0.0,0.0,0.0,1.1148121615399789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,101 East Coast Parkway,1110,"1.294742, 103.8681427",0,0,0.0,0.0,0.0,0.7220787090451439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-20,567 Bukit Timah Road,1145,"1.3190594, 103.8297824",0,0,0.0,0.0,0.0,1.1875224897845764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-20,243 Ang Mo Kio Avenue 8,1220,"1.3796921, 103.8466564",0,0,0.0,0.0,0.0,0.4625505991101824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-23,34 Bukit Batok Street 32,1255,"1.3604664, 103.7483404",0,0,0.0,0.0,0.0,0.556828137123179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-05,545 Upper Thomson Road,1325,"1.3574465, 103.8289904",0,0,0.0,0.0,0.0,1.4226114396216378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
